               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046808,             0.01585,            0.063518,             0.41048,             0.60958,             0.46117,             0.30831,             0.02291,           0.0047321,            0.031285,            0.070021,            0.003331,            0.003331
                   1,            0.037598,            0.010172,            0.020168,             0.69488,             0.93175,             0.76014,              0.5539,            0.020594,           0.0048194,           0.0046546,            0.039955,           0.0065983,           0.0065983
                   2,            0.034151,           0.0092394,           0.0076316,              0.7586,             0.93064,             0.76086,             0.64264,            0.016247,           0.0048447,           0.0033066,           0.0098235,           0.0097997,           0.0097997
                   3,            0.029162,           0.0088198,           0.0060373,             0.73538,             0.90969,             0.76022,             0.67319,            0.014583,           0.0045397,           0.0028471,            0.009703,            0.009703,            0.009703
                   4,            0.024685,           0.0083853,           0.0043132,              0.7613,             0.92197,             0.76413,             0.70788,            0.011406,           0.0044134,           0.0020127,            0.009703,            0.009703,            0.009703
                   5,            0.022169,           0.0079734,           0.0033234,             0.76205,             0.93051,             0.76749,             0.71139,            0.010569,           0.0041138,           0.0018587,            0.009604,            0.009604,            0.009604
                   6,            0.020121,           0.0076521,           0.0029195,             0.76253,             0.94337,             0.76608,             0.71996,            0.009243,           0.0039255,            0.001592,            0.009505,            0.009505,            0.009505
                   7,            0.019255,           0.0076039,           0.0024843,             0.75742,             0.89736,             0.76501,             0.71792,           0.0091823,           0.0039504,            0.001589,            0.009406,            0.009406,            0.009406
                   8,            0.018433,           0.0075839,           0.0025112,             0.76416,             0.91995,             0.76604,             0.72044,           0.0087941,            0.004097,           0.0014262,            0.009307,            0.009307,            0.009307
                   9,             0.01749,           0.0074139,           0.0018778,             0.76395,             0.92527,             0.76666,             0.72846,           0.0080963,           0.0038881,           0.0013311,            0.009208,            0.009208,            0.009208
                  10,            0.017034,           0.0072989,           0.0019754,             0.76417,             0.92088,             0.76643,             0.72998,            0.007903,           0.0041093,           0.0013413,            0.009109,            0.009109,            0.009109
                  11,            0.016564,           0.0072525,           0.0018811,             0.84059,             0.86438,               0.766,             0.73459,           0.0076811,           0.0043773,           0.0013485,             0.00901,             0.00901,             0.00901
                  12,            0.016154,           0.0071492,           0.0018014,             0.76283,             0.91629,             0.76731,             0.73202,           0.0075505,           0.0040549,           0.0011734,            0.008911,            0.008911,            0.008911
                  13,            0.015785,           0.0070858,           0.0016368,             0.76329,             0.92784,             0.76971,             0.73909,           0.0074325,            0.003975,           0.0012003,            0.008812,            0.008812,            0.008812
                  14,            0.015557,           0.0071028,           0.0016165,             0.76452,              0.9199,              0.7652,             0.73347,           0.0073919,           0.0039854,           0.0011328,            0.008713,            0.008713,            0.008713
                  15,            0.015461,           0.0070981,           0.0017815,             0.76361,             0.91466,             0.76653,             0.73695,           0.0073436,           0.0039729,           0.0011056,            0.008614,            0.008614,            0.008614
                  16,            0.015194,            0.007066,            0.001516,             0.76391,             0.92436,             0.76781,             0.73939,           0.0071636,           0.0038251,           0.0010763,            0.008515,            0.008515,            0.008515
                  17,            0.015156,           0.0069809,           0.0016157,             0.76305,             0.93131,             0.76941,             0.74017,           0.0070344,            0.003934,          0.00098824,            0.008416,            0.008416,            0.008416
                  18,            0.014799,           0.0069133,           0.0015188,             0.76324,             0.92871,             0.77005,              0.7411,           0.0067721,           0.0039397,           0.0009304,            0.008317,            0.008317,            0.008317
                  19,            0.014698,           0.0069417,            0.001405,             0.76465,             0.92168,             0.77151,             0.74341,           0.0068026,           0.0039128,          0.00082585,            0.008218,            0.008218,            0.008218
                  20,             0.01437,           0.0069183,           0.0013832,              0.7467,             0.92764,             0.77148,             0.74313,           0.0066187,            0.003953,          0.00086558,            0.008119,            0.008119,            0.008119
                  21,            0.014185,           0.0068895,           0.0013232,             0.76157,             0.91902,             0.76904,             0.74205,           0.0066324,            0.003875,          0.00078659,             0.00802,             0.00802,             0.00802
